"SPETZPC","2012-10-15 14:46:55","Warning","Kigg.Web","GlobalApplication","OnEnd()","Application Ended","n/a","n/a","n/a","n/a","n/a"
"SPETZPC","2012-10-15 14:52:45","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: fbd78e94-df00-4d78-91a1-47ee8a28683a, 2009-01-27 18:55:36, 2012-10-15 14:52:45","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:45","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: fbd78e94-df00-4d78-91a1-47ee8a28683a, 2009-01-27 18:55:36, 2012-10-15 14:52:45","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:45","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 05fb33c2-0fb9-4837-9cdb-f3526f61b4e9, 2009-12-07 09:27:51, 2012-10-15 14:52:45","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:45","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 05fb33c2-0fb9-4837-9cdb-f3526f61b4e9, 2009-12-07 09:27:51, 2012-10-15 14:52:45","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:45","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 69d13495-7b2f-441c-9243-a0619be814c6, 2009-02-28 07:19:44, 2012-10-15 14:52:45","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:45","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 69d13495-7b2f-441c-9243-a0619be814c6, 2009-02-28 07:19:44, 2012-10-15 14:52:45","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:45","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 1242bdb8-223e-4bb0-91bd-a8d6f204b7a5, 2010-02-21 15:44:14, 2012-10-15 14:52:45","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:45","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 1242bdb8-223e-4bb0-91bd-a8d6f204b7a5, 2010-02-21 15:44:14, 2012-10-15 14:52:45","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:45","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: f17ae881-273b-420a-9824-98b70dd06b88, 2009-04-16 11:38:47, 2012-10-15 14:52:45","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:46","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: f17ae881-273b-420a-9824-98b70dd06b88, 2009-04-16 11:38:47, 2012-10-15 14:52:45","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:46","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: af520ada-c3c0-4d81-98f7-e89ecb467d9b, 2009-04-15 14:24:38, 2012-10-15 14:52:46","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:46","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: af520ada-c3c0-4d81-98f7-e89ecb467d9b, 2009-04-15 14:24:38, 2012-10-15 14:52:46","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:46","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: b29d6dcd-69d6-4829-8256-86200fb5c771, 2010-08-09 05:39:50, 2012-10-15 14:52:46","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:46","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: b29d6dcd-69d6-4829-8256-86200fb5c771, 2010-08-09 05:39:50, 2012-10-15 14:52:46","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:46","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 67fa1c7f-d94e-401c-8c73-a9a4f57ab16b, 2009-02-26 16:04:14, 2012-10-15 14:52:46","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:46","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 67fa1c7f-d94e-401c-8c73-a9a4f57ab16b, 2009-02-26 16:04:14, 2012-10-15 14:52:46","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:46","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 61d22844-d637-4a9d-990a-39486b297cd8, 2009-03-18 23:11:18, 2012-10-15 14:52:46","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:46","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 61d22844-d637-4a9d-990a-39486b297cd8, 2009-03-18 23:11:18, 2012-10-15 14:52:46","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:46","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 019b9974-3c7a-4ec3-94bd-7c286a0f2950, 2012-04-21 14:40:00, 2012-10-15 14:52:46","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:46","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 019b9974-3c7a-4ec3-94bd-7c286a0f2950, 2012-04-21 14:40:00, 2012-10-15 14:52:46","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:46","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: f153277a-c9a6-4838-9386-375985bf95cd, 2010-12-02 16:49:31, 2012-10-15 14:52:46","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:46","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: f153277a-c9a6-4838-9386-375985bf95cd, 2010-12-02 16:49:31, 2012-10-15 14:52:46","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:46","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 74ab163b-eb18-4c92-ac62-900b715e9c62, 2009-04-11 22:18:34, 2012-10-15 14:52:46","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:47","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 74ab163b-eb18-4c92-ac62-900b715e9c62, 2009-04-11 22:18:34, 2012-10-15 14:52:46","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:47","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: f24ec776-34d6-4b30-bcbf-d318c61f9a28, 2009-10-08 07:40:47, 2012-10-15 14:52:47","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:47","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: f24ec776-34d6-4b30-bcbf-d318c61f9a28, 2009-10-08 07:40:47, 2012-10-15 14:52:47","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:47","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: c5b88267-bebb-47df-96da-7ce0041065a1, 2010-05-06 09:07:28, 2012-10-15 14:52:47","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:47","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: c5b88267-bebb-47df-96da-7ce0041065a1, 2010-05-06 09:07:28, 2012-10-15 14:52:47","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:47","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 42584218-85bd-44cd-ae36-536d7529f231, 2011-11-30 10:04:24, 2012-10-15 14:52:47","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:47","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 42584218-85bd-44cd-ae36-536d7529f231, 2011-11-30 10:04:24, 2012-10-15 14:52:47","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:47","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 8880a739-b729-4691-ae9c-5f978531e82e, 2011-03-10 07:09:58, 2012-10-15 14:52:47","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:47","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 8880a739-b729-4691-ae9c-5f978531e82e, 2011-03-10 07:09:58, 2012-10-15 14:52:47","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:47","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 4a62af73-896e-4503-b461-d7cf5e8dd552, 2010-01-25 20:39:26, 2012-10-15 14:52:47","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:47","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 4a62af73-896e-4503-b461-d7cf5e8dd552, 2010-01-25 20:39:26, 2012-10-15 14:52:47","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:47","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 0ad11a4f-856f-4b90-aa7e-de31eb9ed773, 2011-09-18 21:55:40, 2012-10-15 14:52:47","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:52:47","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 0ad11a4f-856f-4b90-aa7e-de31eb9ed773, 2011-09-18 21:55:40, 2012-10-15 14:52:47","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
