"SPETZPC","2012-10-15 14:46:55","Warning","Kigg.Web","GlobalApplication","OnEnd()","Application Ended","n/a","n/a","n/a","n/a","n/a"
"SPETZPC","2012-10-15 14:56:21","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: af520ada-c3c0-4d81-98f7-e89ecb467d9b, 2009-04-15 14:24:38, 2012-10-15 14:56:21","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:21","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: b29d6dcd-69d6-4829-8256-86200fb5c771, 2010-08-09 05:39:50, 2012-10-15 14:56:21","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:21","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: b29d6dcd-69d6-4829-8256-86200fb5c771, 2010-08-09 05:39:50, 2012-10-15 14:56:21","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:21","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 67fa1c7f-d94e-401c-8c73-a9a4f57ab16b, 2009-02-26 16:04:14, 2012-10-15 14:56:21","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:21","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 67fa1c7f-d94e-401c-8c73-a9a4f57ab16b, 2009-02-26 16:04:14, 2012-10-15 14:56:21","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:21","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 61d22844-d637-4a9d-990a-39486b297cd8, 2009-03-18 23:11:18, 2012-10-15 14:56:21","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:21","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 61d22844-d637-4a9d-990a-39486b297cd8, 2009-03-18 23:11:18, 2012-10-15 14:56:21","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:21","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 019b9974-3c7a-4ec3-94bd-7c286a0f2950, 2012-04-21 14:40:00, 2012-10-15 14:56:21","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:22","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 019b9974-3c7a-4ec3-94bd-7c286a0f2950, 2012-04-21 14:40:00, 2012-10-15 14:56:21","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:22","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: f153277a-c9a6-4838-9386-375985bf95cd, 2010-12-02 16:49:31, 2012-10-15 14:56:22","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:22","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: f153277a-c9a6-4838-9386-375985bf95cd, 2010-12-02 16:49:31, 2012-10-15 14:56:22","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:22","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 74ab163b-eb18-4c92-ac62-900b715e9c62, 2009-04-11 22:18:34, 2012-10-15 14:56:22","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:22","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 74ab163b-eb18-4c92-ac62-900b715e9c62, 2009-04-11 22:18:34, 2012-10-15 14:56:22","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:22","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: f24ec776-34d6-4b30-bcbf-d318c61f9a28, 2009-10-08 07:40:47, 2012-10-15 14:56:22","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:22","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: f24ec776-34d6-4b30-bcbf-d318c61f9a28, 2009-10-08 07:40:47, 2012-10-15 14:56:22","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:22","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: c5b88267-bebb-47df-96da-7ce0041065a1, 2010-05-06 09:07:28, 2012-10-15 14:56:22","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:22","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: c5b88267-bebb-47df-96da-7ce0041065a1, 2010-05-06 09:07:28, 2012-10-15 14:56:22","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:22","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 42584218-85bd-44cd-ae36-536d7529f231, 2011-11-30 10:04:24, 2012-10-15 14:56:22","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:22","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 42584218-85bd-44cd-ae36-536d7529f231, 2011-11-30 10:04:24, 2012-10-15 14:56:22","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:22","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 8880a739-b729-4691-ae9c-5f978531e82e, 2011-03-10 07:09:58, 2012-10-15 14:56:22","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:22","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 8880a739-b729-4691-ae9c-5f978531e82e, 2011-03-10 07:09:58, 2012-10-15 14:56:22","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:22","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 4a62af73-896e-4503-b461-d7cf5e8dd552, 2010-01-25 20:39:26, 2012-10-15 14:56:22","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:22","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 4a62af73-896e-4503-b461-d7cf5e8dd552, 2010-01-25 20:39:26, 2012-10-15 14:56:22","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:22","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 0ad11a4f-856f-4b90-aa7e-de31eb9ed773, 2011-09-18 21:55:40, 2012-10-15 14:56:22","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:22","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 0ad11a4f-856f-4b90-aa7e-de31eb9ed773, 2011-09-18 21:55:40, 2012-10-15 14:56:22","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:22","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Retrieving score of user: 4cf12e6e-3906-4fbd-9f86-daff8618a6fa, 2009-04-20 16:44:08, 2012-10-15 14:56:22","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:23","Information","Kigg.Repository","LoggingUserRepository","FindScoreById(Guid id, DateTime startTimestamp, DateTime endTimestamp)","Score retrieved of user: 4cf12e6e-3906-4fbd-9f86-daff8618a6fa, 2009-04-20 16:44:08, 2012-10-15 14:56:22","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:23","Information","Kigg.Repository","LoggingTagRepository","FindByUsage(Int32 top)","Retrieving tags by usage : 50","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:23","Information","Kigg.Repository","LoggingTagRepository","FindByUsage(Int32 top)","Tags retrieved by usage : 50","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:23","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : 74261d63-187b-4944-90eb-5c42053b43fd","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:23","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : 74261d63-187b-4944-90eb-5c42053b43fd","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:23","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : bd6c82cc-855d-4be8-aef0-a79b4074e81a","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:23","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : bd6c82cc-855d-4be8-aef0-a79b4074e81a","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:23","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : 9779a6f9-add4-4145-97b8-6c513ebb73a6","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:23","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : 9779a6f9-add4-4145-97b8-6c513ebb73a6","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:23","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : b87f6fb2-cff9-4e98-aa0b-1eee1f21fe0a","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:23","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : b87f6fb2-cff9-4e98-aa0b-1eee1f21fe0a","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:23","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : 38a82330-0680-41b7-b175-9d4c8998324d","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : 38a82330-0680-41b7-b175-9d4c8998324d","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : 7c7b8ceb-cdd4-4c27-847f-734f08d9d71d","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : 7c7b8ceb-cdd4-4c27-847f-734f08d9d71d","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : 6cb161fd-bea1-446f-819d-4ff10da75ac5","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : 6cb161fd-bea1-446f-819d-4ff10da75ac5","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : 66f99148-646c-4aa6-9a95-bfa860112550","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : 66f99148-646c-4aa6-9a95-bfa860112550","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : c1d2b775-f6f1-401b-8c22-8b6d254d8fdd","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : c1d2b775-f6f1-401b-8c22-8b6d254d8fdd","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : ca51c371-3544-4ff5-8f9a-b2827e0ddba4","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : ca51c371-3544-4ff5-8f9a-b2827e0ddba4","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : f55386bb-c678-40a2-b83a-d90ebc5a54f8","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : f55386bb-c678-40a2-b83a-d90ebc5a54f8","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : b03dbd9c-afd9-4346-b240-a261f96971af","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : b03dbd9c-afd9-4346-b240-a261f96971af","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : 34131e0d-a477-49c4-8497-f6edc918cf00","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : 34131e0d-a477-49c4-8497-f6edc918cf00","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : 42db0f05-969d-4c45-ab7b-5465d56ee7ee","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : 42db0f05-969d-4c45-ab7b-5465d56ee7ee","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : dd5a898e-8f40-4c08-b920-fa59cf8ba379","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : dd5a898e-8f40-4c08-b920-fa59cf8ba379","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : 066c2024-f19a-4a73-9f24-f64e6cd926cc","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : 066c2024-f19a-4a73-9f24-f64e6cd926cc","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : 49bea5c6-e222-45c6-980c-e05f955c86ca","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : 49bea5c6-e222-45c6-980c-e05f955c86ca","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : 4ca05164-2541-4aeb-800c-1f602edaaadf","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : 4ca05164-2541-4aeb-800c-1f602edaaadf","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : 65a08f7c-5911-4610-9a83-c8c75cf0e11b","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Count retrieved for tag : 65a08f7c-5911-4610-9a83-c8c75cf0e11b","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
"SPETZPC","2012-10-15 14:56:24","Information","Kigg.Repository","LoggingStoryRepository","CountByTag(Guid tagId)","Retrieving count for tag : f38df03a-f72e-40c1-88e0-11fb6a695ae9","Unauthenticated User","::1","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","/","/"
